State,City,Zipcode,Date,Sales
CA,Anaheim,92802,2018-01-01 00:00:00,$44.85
CA,Bakersfield,93311,2018-01-01 00:00:00,$91.9
CA,Bakersfield,93312,2018-01-01 00:00:00,$149.5
CA,Folsom,95630,2018-01-01 00:00:00,$160.6
CA,Fresno,93722,2018-01-01 00:00:00,$83.5
CA,Irvine,92606,2018-01-01 00:00:00,$39.9
CA,Los Angeles,90048,2018-01-01 00:00:00,$159.5
CA,Manhattan Beach,90266,2018-01-01 00:00:00,$403.2
CA,Napa,94559,2018-01-01 00:00:00,$149.7
CA,Sacramento,95818,2018-01-01 00:00:00,$59.85
CA,Sacramento,95823,2018-01-01 00:00:00,$400.4
CA,San Jose,95110,2018-01-01 00:00:00,$160.45
CA,San Jose,95121,2018-01-01 00:00:00,$64.75
CA,San Jose,95122,2018-01-01 00:00:00,$447.65
CA,San Jose,95124,2018-01-01 00:00:00,$139.65
CA,San Jose,95129,2018-01-01 00:00:00,$134.55
CA,Ventura,93003,2018-01-01 00:00:00,$649.4
OR,Eugene,97402,2018-01-01 00:00:00,$159.5
OR,Portland,97205,2018-01-01 00:00:00,$310
OR,Salem,97301,2018-01-01 00:00:00,$517.05
WA,Issaquah,98027,2018-01-01 00:00:00,$535
WA,Redmond,98052,2018-01-01 00:00:00,$365.7
WA,Seattle,98125,2018-01-01 00:00:00,$375.15
WA,Seattle,98126,2018-01-01 00:00:00,$263.35
WA,Spokane,99218,2018-01-01 00:00:00,$709.15
WA,Vancouver,98662,2018-01-01 00:00:00,$488.1
WA,Vancouver,98665,2018-01-01 00:00:00,$27.95
WA,Vancouver,98684,2018-01-01 00:00:00,$79.8
CA,Alameda,94501,2018-01-02 00:00:00,$632.53
CA,Bakersfield,93304,2018-01-02 00:00:00,$351.15
CA,Bakersfield,93312,2018-01-02 00:00:00,$64.75
CA,Burbank,91504,2018-01-02 00:00:00,$461.1
CA,Cupertino,95014,2018-01-02 00:00:00,$642.9
CA,Fresno,93726,2018-01-02 00:00:00,$689.1
CA,Los Angeles,90017,2018-01-02 00:00:00,$374.4
CA,Manhattan Beach,90266,2018-01-02 00:00:00,$215.35
CA,Napa,94559,2018-01-02 00:00:00,$509.8
CA,North Hollywood,91606,2018-01-02 00:00:00,$296.55
CA,Sacramento,95818,2018-01-02 00:00:00,$212.15
CA,Sacramento,95823,2018-01-02 00:00:00,$99.75
CA,Sacramento,95825,2018-01-02 00:00:00,$74.85
CA,San Diego,92126,2018-01-02 00:00:00,$90.65
CA,San Francisco,94103,2018-01-02 00:00:00,$489.65
CA,San Jose,95121,2018-01-02 00:00:00,$539.25
